# x f(x)
16384 0.018
32768 0.046
49152 0.064
65536 0.097
81920 0.12
98304 0.146
114688 0.167
131072 0.218
147456 0.243
163840 0.269
180224 0.296
196608 0.32
212992 0.347
229376 0.37
245760 0.397
# x f(x)
16384 0.015
32768 0.027
49152 0.045
65536 0.057
81920 0.073
98304 0.086
114688 0.101
131072 0.117
147456 0.127
163840 0.145
180224 0.16
196608 0.174
212992 0.186
229376 0.202
245760 0.22
# x f(x)
16384 0.026
32768 0.057
49152 0.082
65536 0.107
81920 0.134
98304 0.162
114688 0.189
131072 0.215
147456 0.246
163840 0.272
180224 0.298
196608 0.32
212992 0.352
229376 0.379
245760 0.402
